table_name,table_id,vacuum_type,is_automatic,status,start_time,end_time,duration_seconds,rows_before_vacuum,size_before_vacuum,sortedrows_before_vacuum,sortedrows_after_vacuum
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 19:46:45.149918,,0.0,182851,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 19:46:45.149918,2026-08-12 19:46:48.249459,3.099541,164785,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 19:48:13.796780,,0.0,174013,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 19:48:13.796780,2026-08-12 19:48:17.940638,4.143858,164939,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 19:49:44.926476,,0.0,183387,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 19:49:44.926476,2026-08-12 19:49:48.854969,3.928493,164978,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 19:51:15.105549,,0.0,174310,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 19:51:15.105549,2026-08-12 19:51:18.637893,3.532344,165045,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 19:52:44.394867,,0.0,183812,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 19:52:44.394867,2026-08-12 19:52:47.871612,3.476745,165144,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 19:54:15.342334,2026-08-12 19:54:19.117029,3.774695,165217,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 19:54:15.342334,,0.0,174631,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 19:55:43.989419,2026-08-12 19:55:48.331307,4.341888,174335,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 19:55:43.989419,,0.0,191311,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 19:57:15.174819,,0.0,183228,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 19:57:15.174819,2026-08-12 19:57:18.241440,3.066621,174562,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 19:58:45.126671,,0.0,192625,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 19:58:45.126671,2026-08-12 19:58:48.856434,3.729763,174862,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:00:14.030353,2026-08-12 20:00:20.185894,6.155541,175065,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:00:14.030353,,0.0,183988,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:01:44.050881,,0.0,193366,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:01:44.050881,2026-08-12 20:01:50.557584,6.506703,175088,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:03:14.081265,2026-08-12 20:03:19.549653,5.468388,175203,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:03:14.081265,,0.0,184283,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:04:44.087993,2026-08-12 20:04:49.623360,5.535367,184523,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:04:44.087993,,0.0,193717,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:06:14.100789,,0.0,193846,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:06:14.100789,2026-08-12 20:06:19.884336,5.783547,175285,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:07:47.184256,,0.0,201695,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:07:47.184256,2026-08-12 20:07:54.247016,7.06276,182763,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:09:14.036730,,0.0,200671,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:09:14.036730,2026-08-12 20:09:17.324738,3.288008,195821,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:10:44.066653,2026-08-12 20:10:48.298643,4.23199,194048,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:10:44.066653,,0.0,204910,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:12:17.554750,2026-08-12 20:12:22.588708,5.033958,194268,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:12:17.554750,,0.0,203190,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:13:44.146822,,0.0,203508,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:13:44.146822,2026-08-12 20:13:49.077220,4.930398,194522,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:15:14.179199,2026-08-12 20:15:19.491184,5.311985,185214,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:15:14.179199,,0.0,203697,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:16:44.199867,2026-08-12 20:16:47.980642,3.780775,194807,2989,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:16:44.199867,,0.0,203789,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:18:15.447481,2026-08-12 20:18:19.420252,3.972771,185360,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:18:15.447481,,0.0,204169,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:19:44.254266,2026-08-12 20:19:48.456875,4.202609,198529,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:19:44.254266,,0.0,207431,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:21:14.110706,,0.0,221802,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:21:14.110706,2026-08-12 20:21:18.565933,4.455227,199617,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:22:44.168295,2026-08-12 20:22:52.778742,8.610447,215159,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:22:44.168295,,0.0,217572,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:24:14.180468,2026-08-12 20:24:18.782155,4.601687,200724,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:24:14.180468,,0.0,224204,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:25:44.806815,,0.0,219055,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:25:44.806815,2026-08-12 20:25:48.267798,3.460983,210644,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:27:14.270659,,0.0,219929,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:27:14.270659,2026-08-12 20:27:18.640602,4.369943,200581,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:28:45.289512,,0.0,219313,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:28:45.289512,2026-08-12 20:28:51.448757,6.159245,200582,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:30:14.337892,2026-08-12 20:30:20.570066,6.232174,201021,2989,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:30:14.337892,,0.0,209998,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:31:44.355772,2026-08-12 20:31:48.670864,4.315092,215930,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:31:44.355772,,0.0,224703,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:33:14.411177,2026-08-12 20:33:21.885838,7.474661,209844,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:33:14.411177,,0.0,234064,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:34:46.032762,,0.0,227652,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:34:46.032762,2026-08-12 20:34:49.737185,3.704423,211354,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:36:14.442210,,0.0,220437,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:36:14.442210,2026-08-12 20:36:17.872065,3.429855,211513,2988,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:37:45.043163,2026-08-12 20:37:49.420068,4.376905,210787,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:37:45.043163,,0.0,229928,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:39:15.670003,2026-08-12 20:39:19.003954,3.333951,211587,2988,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:39:15.670003,,0.0,219970,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:40:46.076350,2026-08-12 20:40:49.604957,3.528607,221648,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:40:46.076350,,0.0,230066,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:42:14.717599,2026-08-12 20:42:19.435581,4.717982,210938,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:42:14.717599,,0.0,230995,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:43:44.545142,,0.0,238016,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:43:44.545142,2026-08-12 20:43:48.592608,4.047466,232936,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:45:14.415633,,0.0,244705,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:45:14.415633,2026-08-12 20:45:18.548475,4.132842,220202,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:46:44.849322,2026-08-12 20:46:50.029382,5.18006,237053,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:46:44.849322,,0.0,238261,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:48:14.520901,2026-08-12 20:48:18.176750,3.655849,221168,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:48:14.520901,,0.0,246277,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:49:44.550867,,0.0,239633,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:49:44.550867,2026-08-12 20:49:47.251708,2.700841,234111,2988,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:51:15.383896,,0.0,243460,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:51:15.383896,2026-08-12 20:51:18.324711,2.940815,221204,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:52:46.652064,,0.0,239935,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:52:46.652064,2026-08-12 20:52:50.503731,3.851667,222860,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:54:15.254295,,0.0,247410,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:54:15.254295,2026-08-12 20:54:18.244609,2.990314,227459,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:55:47.157645,,0.0,245477,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:55:47.157645,2026-08-12 20:55:50.463074,3.305429,235613,2988,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:57:17.055791,,0.0,244563,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:57:17.055791,2026-08-12 20:57:20.213414,3.157623,232136,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 20:58:44.667537,,0.0,250471,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 20:58:44.667537,2026-08-12 20:58:48.303045,3.635508,242740,2988,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:00:14.721571,,0.0,251981,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:00:14.721571,2026-08-12 21:00:20.545680,5.824109,232901,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:01:44.551233,2026-08-12 21:01:53.974304,9.423071,231848,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:01:44.551233,,0.0,251514,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:03:14.576897,,0.0,241082,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:03:14.576897,2026-08-12 21:03:19.135165,4.558268,236064,2988,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:04:44.618192,,0.0,254718,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:04:44.618192,2026-08-12 21:04:48.569766,3.951574,244792,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:06:14.699484,,0.0,257504,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:06:14.699484,2026-08-12 21:06:18.944324,4.24484,234936,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:07:44.806001,2026-08-12 21:07:47.810117,3.004116,257078,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:07:44.806001,,0.0,261486,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:09:16.071393,2026-08-12 21:09:19.805864,3.734471,241131,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:09:16.071393,,0.0,266085,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:10:46.300084,,0.0,259483,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:10:46.300084,2026-08-12 21:10:49.910448,3.610364,256650,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:12:14.732208,2026-08-12 21:12:18.092592,3.360384,241360,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:12:14.732208,,0.0,265868,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:13:44.795574,2026-08-12 21:13:47.279718,2.484144,256800,2988,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:13:44.795574,,0.0,259781,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:15:15.225251,,0.0,265991,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:15:15.225251,2026-08-12 21:15:18.577290,3.352039,242418,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:16:45.858076,,0.0,261081,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:16:45.858076,2026-08-12 21:16:49.396406,3.53833,256346,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:18:15.924925,,0.0,273366,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:18:15.924925,2026-08-12 21:18:20.217731,4.292806,249379,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:19:45.991654,,0.0,276466,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:19:45.991654,2026-08-12 21:19:49.344644,3.35299,269641,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:21:14.816340,,0.0,278714,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:21:14.816340,2026-08-12 21:21:18.567071,3.750731,258761,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:22:46.075643,2026-08-12 21:22:49.013134,2.937491,270525,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:22:46.075643,,0.0,277188,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:24:15.713031,2026-08-12 21:24:19.349419,3.636388,258235,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:24:15.713031,,0.0,279786,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:25:46.150562,,0.0,276804,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:25:46.150562,2026-08-12 21:25:49.643918,3.493356,274092,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:27:14.984022,,0.0,283402,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:27:14.984022,2026-08-12 21:27:18.105260,3.121238,257632,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:28:45.459653,,0.0,276365,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:28:45.459653,2026-08-12 21:28:48.850475,3.390822,260749,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:30:14.894356,,0.0,278000,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:30:14.894356,2026-08-12 21:30:17.287514,2.393158,270887,2988,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:31:44.964338,,0.0,290304,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:31:44.964338,2026-08-12 21:31:48.427230,3.462892,280110,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:33:15.015136,,0.0,289100,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:33:15.015136,2026-08-12 21:33:18.617973,3.602837,268649,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:34:45.663588,,0.0,286858,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:34:45.663588,2026-08-12 21:34:47.988694,2.325106,282294,2988,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:36:15.104495,2026-08-12 21:36:18.527622,3.423127,267510,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:36:15.104495,,0.0,291433,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:37:46.175354,2026-08-12 21:37:48.354169,2.178815,283064,2988,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:37:46.175354,,0.0,285850,2988,47,0
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Finished           ,2026-08-12 21:39:15.022701,2026-08-12 21:39:18.859456,3.836755,266697,2990,47,47
mv_tbl__quotes_daily__0                                                                                                                 ,230009,Delete                        ,t,[VacuumBG] Started Delete Only,2026-08-12 21:39:15.022701,,0.0,301549,2988,47,0
